Provincia,DistritoId,Poblacion,Distrito,DistritoMunicipal,PoblacionDistritoMunicipal
Araba/Álava,01VI,5956,Ayala/Aiara y otros municipios,,
Araba/Álava,02VI,3771,Ribera Baja/Erribera Beitia y otros municipios,,
Araba/Álava,03VI,6104,Iruña Oka/Iruña de Oca y otros municipios,,
Araba/Álava,04VI,4120,Zuia y Zigoitia,,
Araba/Álava,05VI,4466,Legutio y otros municipios,,
Araba/Álava,06VI,7524,Alegría-Dulantzi y otros municipios,,
Araba/Álava,07VI,7732,Oyón-Oion y otros municipios,,
Araba/Álava,08VI,7515,Laguardia y otros municipios,,
Araba/Álava,09VI,10307,Amurrio,,
Araba/Álava,10VI,18009,Laudio/Llodio,,
Araba/Álava,11VI,5029,Salvatierra/Agurain,,
Araba/Álava,12VI,38600,Vitoria-Gasteiz (distrito 01),,
Araba/Álava,13VI,69807,Vitoria-Gasteiz (distrito 02),,
Araba/Álava,14VI,54114,Vitoria-Gasteiz (distrito 03),,
Araba/Álava,15VI,33042,Vitoria-Gasteiz (distrito 04),,
Araba/Álava,16VI,52432,Vitoria-Gasteiz (distrito 05),,
Araba/Álava,17VI,5098,Vitoria-Gasteiz (distrito 06),,
Albacete,01AB,12293,Albacete (distrito 08) y otros municipios,,
Albacete,02AB,7141,Chinchilla de Monte-Aragón y Pozo Cañada,,
Albacete,03AB,5259,Madrigueras y Motilleja,,
Albacete,04AB,17250,Roda; La y otros municipios,,
Albacete,05AB,7265,Tarazona de la Mancha y Villalgordo del Júcar,,
Albacete,06AB,5058,Alpera y otros municipios,,
Albacete,07AB,5457,Casas de Juan Núñez y otros municipios,,
Albacete,08AB,8445,Villamalea y otros municipios,,
Albacete,09AB,5318,Casas-Ibáñez y otros municipios,,
Albacete,10AB,8111,Fuente-Álamo y otros municipios,,
Albacete,11AB,4673,Yeste y otros municipios,,
Albacete,12AB,4884,Riópar y otros municipios,,
Albacete,13AB,7058,Elche de la Sierra y otros municipios,,
Albacete,14AB,5239,Pozohondo y otros municipios,,
Albacete,15AB,4946,Alcaraz y otros municipios,,
Albacete,16AB,5804,Balazote y otros municipios,,
Albacete,17AB,8392,Munera y otros municipios,,
Albacete,18AB,24388,Almansa,,
Albacete,19AB,10077,Caudete,,
Albacete,20AB,30427,Hellín,,
Albacete,21AB,7691,Tobarra,,
Albacete,22AB,24978,Villarrobledo,,
Albacete,23AB,25928,Albacete (distrito 01) ,,
Albacete,24AB,39487,Albacete (distrito 02) ,,
Albacete,25AB,20179,Albacete (distrito 03),,
Albacete,26AB,19707,Albacete (distrito 04) ,,
Albacete,27AB,16680,Albacete (distrito 05) ,,
Albacete,28AB,17817,Albacete (distrito 06) ,,
Albacete,29AB,26512,Albacete (distrito 07) ,,
Alicante,001A,8519,Montesinos; Los y Algorfa,,
Alicante,002A,10124,Formentera del Segura y otros municipios,,
Alicante,003A,9024,Bigastro y Jacarilla,,
Alicante,004A,11994,Cox y otros municipios,,
Alicante,005A,14860,Albatera y San Isidro,,
