Origen,Destino,Flujo,Fecha
01AB,02AB,49,2020-04-01
01AB,14AB,23,2020-04-01
01AB,16AB,19,2020-04-01
01AB,23AB,205,2020-04-01
01AB,24AB,204,2020-04-01
01AB,25AB,89,2020-04-01
01AB,26AB,78,2020-04-01
01AB,27AB,26,2020-04-01
01AB,28AB,93,2020-04-01
01AB,29AB,206,2020-04-01
01AB,02AB,58,2020-04-02
01AB,14AB,25,2020-04-02
01AB,16AB,25,2020-04-02
01AB,23AB,203,2020-04-02
01AB,24AB,198,2020-04-02
01AB,25AB,59,2020-04-02
01AB,26AB,81,2020-04-02
01AB,27AB,37,2020-04-02
01AB,28AB,103,2020-04-02
01AB,29AB,172,2020-04-02
01AB,02AB,62,2020-04-03
01AB,14AB,23,2020-04-03
01AB,16AB,24,2020-04-03
01AB,23AB,215,2020-04-03
01AB,24AB,203,2020-04-03
01AB,25AB,65,2020-04-03
01AB,26AB,90,2020-04-03
01AB,27AB,30,2020-04-03
01AB,28AB,98,2020-04-03
01AB,29AB,172,2020-04-03
01AB,02AB,45,2020-04-04
01AB,14AB,16,2020-04-04
01AB,16AB,17,2020-04-04
01AB,23AB,176,2020-04-04
01AB,24AB,196,2020-04-04
01AB,25AB,60,2020-04-04
01AB,26AB,83,2020-04-04
01AB,27AB,27,2020-04-04
01AB,28AB,76,2020-04-04
01AB,29AB,135,2020-04-04
01AB,02AB,30,2020-04-05
01AB,23AB,183,2020-04-05
01AB,24AB,166,2020-04-05
01AB,25AB,57,2020-04-05
01AB,26AB,83,2020-04-05
01AB,27AB,19,2020-04-05
01AB,28AB,78,2020-04-05
01AB,29AB,114,2020-04-05
01AB,02AB,58,2020-04-06
01AB,14AB,30,2020-04-06
01AB,16AB,22,2020-04-06
01AB,23AB,212,2020-04-06
01AB,24AB,200,2020-04-06
01AB,25AB,64,2020-04-06
01AB,26AB,95,2020-04-06
01AB,27AB,16,2020-04-06
01AB,28AB,98,2020-04-06
01AB,29AB,203,2020-04-06
01AB,02AB,53,2020-04-07
01AB,07AB,16,2020-04-07
01AB,14AB,21,2020-04-07
01AB,16AB,24,2020-04-07
01AB,23AB,185,2020-04-07
01AB,24AB,214,2020-04-07
01AB,25AB,58,2020-04-07
01AB,26AB,90,2020-04-07
01AB,27AB,32,2020-04-07
01AB,28AB,89,2020-04-07
01AB,29AB,160,2020-04-07
01AB,02AB,66,2020-04-08
01AB,04AB,16,2020-04-08
01AB,14AB,24,2020-04-08
