Fecha,ProvinciaId,Casos,Casos7,Casos14
2020-03-15,A,49,49,49
2020-03-16,A,68,117,117
2020-03-17,A,95,212,212
2020-03-18,A,81,293,293
2020-03-19,A,79,372,372
2020-03-20,A,113,485,485
2020-03-21,A,81,566,566
2020-03-22,A,89,655,655
2020-03-23,A,128,734,783
2020-03-24,A,178,844,961
2020-03-25,A,148,897,1109
2020-03-26,A,233,1049,1342
2020-03-27,A,280,1250,1622
2020-03-28,A,259,1396,1881
2020-03-29,A,129,1444,2010
2020-03-30,A,153,1508,2114
2020-03-31,A,180,1560,2226
2020-04-01,A,127,1509,2258
2020-04-02,A,136,1497,2313
2020-04-03,A,106,1370,2340
2020-04-04,A,61,1151,2288
2020-04-05,A,51,943,2258
2020-04-06,A,61,875,2230
2020-04-07,A,71,793,2173
2020-04-08,A,81,694,2076
2020-04-09,A,58,625,1986
2020-04-10,A,45,534,1798
2020-04-11,A,52,480,1570
2020-04-12,A,27,446,1338
2020-04-13,A,30,425,1239
2020-04-14,A,39,403,1125
2020-04-15,A,49,381,994
2020-04-16,A,39,339,906
2020-04-17,A,19,300,789
2020-04-18,A,16,271,699
2020-04-19,A,10,229,648
2020-04-20,A,23,225,620
2020-04-21,A,19,214,578
2020-04-22,A,30,205,537
2020-04-23,A,16,172,472
2020-04-24,A,25,158,439
2020-04-25,A,13,152,407
2020-04-26,A,5,141,360
2020-04-27,A,16,147,349
2020-04-28,A,30,154,349
2020-04-29,A,41,176,351
2020-04-30,A,28,174,330
2020-03-15,AB,21,21,21
2020-03-16,AB,65,86,86
2020-03-17,AB,29,115,115
2020-03-18,AB,26,141,141
2020-03-19,AB,22,163,163
2020-03-20,AB,85,248,248
2020-03-21,AB,24,272,272
2020-03-22,AB,60,332,332
2020-03-23,AB,194,505,526
2020-03-24,AB,54,494,580
2020-03-25,AB,22,487,602
2020-03-26,AB,186,647,788
2020-03-27,AB,259,884,1047
2020-03-28,AB,55,854,1102
2020-03-29,AB,59,889,1161
2020-03-30,AB,330,1159,1470
2020-03-31,AB,106,1071,1511
2020-04-01,AB,254,1271,1736
2020-04-02,AB,143,1392,1853
2020-04-03,AB,140,1346,1971
2020-04-04,AB,43,1130,1929
2020-04-05,AB,21,1096,1926
2020-04-06,AB,171,1208,2037
2020-04-07,AB,82,960,1925
2020-04-08,AB,69,923,1940
2020-04-09,AB,61,730,1979
2020-04-10,AB,80,667,1873
2020-04-11,AB,47,574,1661
2020-04-12,AB,24,555,1630
2020-04-13,AB,19,553,1590
2020-04-14,AB,52,434,1312
2020-04-15,AB,42,394,1248
2020-04-16,AB,32,357,1026
2020-04-17,AB,22,318,905
2020-04-18,AB,6,244,771
2020-04-19,AB,16,213,744
2020-04-20,AB,35,224,758
2020-04-21,AB,20,225,607
2020-04-22,AB,20,193,545
2020-04-23,AB,29,180,505
2020-04-24,AB,22,170,466
2020-04-25,AB,14,162,400
2020-04-26,AB,14,170,367
2020-04-27,AB,26,180,369
2020-04-28,AB,22,167,372
2020-04-29,AB,34,181,354
2020-04-30,AB,16,177,328
2020-03-15,AL,9,9,9
2020-03-16,AL,5,14,14
2020-03-17,AL,8,22,22
2020-03-18,AL,5,27,27
2020-03-19,AL,9,36,36
2020-03-20,AL,9,45,45
2020-03-21,AL,10,55,55
2020-03-22,AL,12,67,67
2020-03-23,AL,20,78,87
2020-03-24,AL,26,99,113
2020-03-25,AL,31,122,144
2020-03-26,AL,17,134,161
2020-03-27,AL,39,164,200
2020-03-28,AL,17,172,217
2020-03-29,AL,17,179,234
2020-03-30,AL,17,184,242
2020-03-31,AL,22,186,259
2020-04-01,AL,13,173,264
2020-04-02,AL,25,167,284
2020-04-03,AL,15,165,290
2020-04-04,AL,26,152,307
2020-04-05,AL,1,136,298
2020-04-06,AL,15,134,301
2020-04-07,AL,12,129,293
2020-04-08,AL,11,118,278
2020-04-09,AL,2,107,249
2020-04-10,AL,4,86,236
2020-04-11,AL,5,76,202
2020-04-12,AL,0,50,185
2020-04-13,AL,1,50,169
2020-04-14,AL,8,43,160
2020-04-15,AL,9,40,147
2020-04-16,AL,10,39,144
2020-04-17,AL,8,45,127
2020-04-18,AL,2,43,114
2020-04-19,AL,2,40,90
2020-04-20,AL,5,45,94
2020-04-21,AL,5,49,84
2020-04-22,AL,3,44,75
2020-04-23,AL,2,37,66
2020-04-24,AL,2,29,66
2020-04-25,AL,1,22,63
2020-04-26,AL,0,20,58
2020-04-27,AL,3,21,61
2020-04-28,AL,0,16,60
2020-04-29,AL,1,12,53
2020-04-30,AL,3,12,47
2020-03-15,AV,17,17,17
2020-03-16,AV,12,29,29
2020-03-17,AV,19,48,48
2020-03-18,AV,5,53,53
2020-03-19,AV,45,98,98
2020-03-20,AV,49,147,147
2020-03-21,AV,9,156,156
2020-03-22,AV,7,163,163
2020-03-23,AV,62,208,225
2020-03-24,AV,74,270,299
2020-03-25,AV,85,336,384
2020-03-26,AV,34,365,418
2020-03-27,AV,74,394,492
2020-03-28,AV,38,383,530
2020-03-29,AV,18,392,548
2020-03-30,AV,38,423,569
2020-03-31,AV,167,528,724
2020-04-01,AV,63,517,768
2020-04-02,AV,72,504,835
2020-04-03,AV,86,556,876
2020-04-04,AV,37,519,864
2020-04-05,AV,48,529,903
2020-04-06,AV,61,572,957
2020-04-07,AV,25,559,920
2020-04-08,AV,41,433,887
2020-04-09,AV,29,399,831
2020-04-10,AV,52,379,849
2020-04-11,AV,39,332,814
2020-04-12,AV,19,314,795
2020-04-13,AV,17,283,794
2020-04-14,AV,52,274,808
2020-04-15,AV,21,270,662
2020-04-16,AV,21,250,620
2020-04-17,AV,21,242,569
2020-04-18,AV,23,213,506
2020-04-19,AV,30,204,499
2020-04-20,AV,20,205,471
2020-04-21,AV,16,204,426
2020-04-22,AV,32,184,433
2020-04-23,AV,19,182,411
2020-04-24,AV,15,176,397
2020-04-25,AV,8,163,353
2020-04-26,AV,7,147,321
2020-04-27,AV,5,122,307
2020-04-28,AV,12,114,302
2020-04-29,AV,6,104,256
2020-04-30,AV,4,76,239
2020-03-15,B,376,376,376
2020-03-16,B,587,963,963
2020-03-17,B,656,1619,1619
2020-03-18,B,796,2415,2415
2020-03-19,B,1053,3468,3468
2020-03-20,B,1133,4601,4601
2020-03-21,B,990,5591,5591
2020-03-22,B,828,6419,6419
2020-03-23,B,1206,7249,7625
2020-03-24,B,1478,8140,9103
2020-03-25,B,1462,8946,10565
2020-03-26,B,1572,9722,12137
2020-03-27,B,1353,10022,13490
2020-03-28,B,1249,10138,14739
2020-03-29,B,937,10085,15676
2020-03-30,B,1362,10619,16662
2020-03-31,B,1373,10786,17448
2020-04-01,B,1206,10514,17998
2020-04-02,B,1087,10139,18289
2020-04-03,B,1160,9727,18396
2020-04-04,B,843,9217,18106
2020-04-05,B,544,8512,17660
2020-04-06,B,931,8506,17763
2020-04-07,B,970,8114,17527
2020-04-08,B,957,7698,17006
2020-04-09,B,1018,7510,16562
2020-04-10,B,812,7235,15802
2020-04-11,B,681,6756,15130
2020-04-12,B,463,6376,14344
2020-04-13,B,525,6357,13932
2020-04-14,B,869,6295,13439
2020-04-15,B,912,6237,12978
2020-04-16,B,937,6217,12709
2020-04-17,B,1086,6285,12708
2020-04-18,B,504,5977,12052
2020-04-19,B,361,5657,11570
2020-04-20,B,646,5840,11672
2020-04-21,B,566,5881,11307
2020-04-22,B,579,5591,10916
