Fecha,ProvinciaId,Provincia,Casos,Casos7,Casos14
2021-06-15,A,Alicante,59,0,0
2021-06-16,A,Alicante,49,0,0
2021-06-17,A,Alicante,41,0,0
2021-06-18,A,Alicante,88,0,0
2021-06-19,A,Alicante,65,0,0
2021-06-20,A,Alicante,46,0,0
2021-06-21,A,Alicante,82,430,0
2021-06-22,A,Alicante,84,455,0
2021-06-23,A,Alicante,95,501,0
2021-06-24,A,Alicante,76,536,0
2021-06-25,A,Alicante,98,546,0
2021-06-26,A,Alicante,118,599,0
2021-06-27,A,Alicante,102,655,0
2021-06-28,A,Alicante,189,762,1192
2021-06-29,A,Alicante,207,885,1340
2021-06-30,A,Alicante,198,988,1489
2021-07-01,A,Alicante,200,1112,1648
2021-07-02,A,Alicante,256,1270,1816
2021-07-03,A,Alicante,191,1343,1942
2021-07-04,A,Alicante,204,1445,2100
2021-07-05,A,Alicante,344,1600,2362
2021-07-06,A,Alicante,350,1743,2628
2021-07-07,A,Alicante,434,1979,2967
2021-07-08,A,Alicante,395,2174,3286
2021-07-09,A,Alicante,471,2389,3659
2021-07-10,A,Alicante,445,2643,3986
2021-07-11,A,Alicante,451,2890,4335
2021-07-12,A,Alicante,679,3225,4825
2021-07-13,A,Alicante,754,3629,5372
2021-07-14,A,Alicante,706,3901,5880
2021-07-15,A,Alicante,659,4165,6339
2021-07-16,A,Alicante,745,4439,6828
2021-07-17,A,Alicante,612,4606,7249
2021-07-18,A,Alicante,597,4752,7642
2021-07-19,A,Alicante,927,5000,8225
2021-07-20,A,Alicante,968,5214,8843
2021-07-21,A,Alicante,893,5401,9302
2021-07-22,A,Alicante,906,5648,9813
2021-07-23,A,Alicante,892,5795,10234
2021-07-24,A,Alicante,724,5907,10513
2021-07-25,A,Alicante,650,5960,10712
2021-07-26,A,Alicante,1113,6146,11146
2021-07-27,A,Alicante,991,6169,11383
2021-07-28,A,Alicante,877,6153,11554
2021-07-29,A,Alicante,781,6028,11676
2021-07-30,A,Alicante,833,5969,11764
2021-07-31,A,Alicante,619,5864,11771
2021-06-15,AB,Albacete,14,0,0
2021-06-16,AB,Albacete,13,0,0
2021-06-17,AB,Albacete,15,0,0
2021-06-18,AB,Albacete,15,0,0
2021-06-19,AB,Albacete,12,0,0
2021-06-20,AB,Albacete,12,0,0
2021-06-21,AB,Albacete,11,92,0
2021-06-22,AB,Albacete,17,95,0
2021-06-23,AB,Albacete,25,107,0
2021-06-24,AB,Albacete,18,110,0
2021-06-25,AB,Albacete,18,113,0
2021-06-26,AB,Albacete,14,115,0
2021-06-27,AB,Albacete,14,117,0
2021-06-28,AB,Albacete,36,142,234
2021-06-29,AB,Albacete,23,148,243
2021-06-30,AB,Albacete,28,151,258
2021-07-01,AB,Albacete,28,161,271
2021-07-02,AB,Albacete,25,168,281
2021-07-03,AB,Albacete,25,179,294
2021-07-04,AB,Albacete,23,188,305
2021-07-05,AB,Albacete,51,203,345
2021-07-06,AB,Albacete,69,249,397
2021-07-07,AB,Albacete,66,287,438
2021-07-08,AB,Albacete,55,314,475
2021-07-09,AB,Albacete,85,374,542
2021-07-10,AB,Albacete,56,405,584
2021-07-11,AB,Albacete,87,469,657
2021-07-12,AB,Albacete,105,523,726
2021-07-13,AB,Albacete,135,589,838
2021-07-14,AB,Albacete,170,693,980
2021-07-15,AB,Albacete,171,809,1123
2021-07-16,AB,Albacete,210,934,1308
2021-07-17,AB,Albacete,150,1028,1433
2021-07-18,AB,Albacete,171,1112,1581
2021-07-19,AB,Albacete,205,1212,1735
2021-07-20,AB,Albacete,223,1300,1889
2021-07-21,AB,Albacete,237,1367,2060
2021-07-22,AB,Albacete,213,1409,2218
2021-07-23,AB,Albacete,227,1426,2360
2021-07-24,AB,Albacete,187,1463,2491
2021-07-25,AB,Albacete,155,1447,2559
2021-07-26,AB,Albacete,211,1453,2665
2021-07-27,AB,Albacete,223,1453,2753
2021-07-28,AB,Albacete,237,1453,2820
2021-07-29,AB,Albacete,205,1445,2854
2021-07-30,AB,Albacete,181,1399,2825
2021-07-31,AB,Albacete,148,1360,2823
2021-06-15,AL,Almería,50,0,0
2021-06-16,AL,Almería,44,0,0
2021-06-17,AL,Almería,39,0,0
2021-06-18,AL,Almería,27,0,0
2021-06-19,AL,Almería,26,0,0
2021-06-20,AL,Almería,37,0,0
2021-06-21,AL,Almería,43,266,0
2021-06-22,AL,Almería,43,259,0
2021-06-23,AL,Almería,41,256,0
2021-06-24,AL,Almería,46,263,0
2021-06-25,AL,Almería,54,290,0
2021-06-26,AL,Almería,47,311,0
2021-06-27,AL,Almería,29,303,0
2021-06-28,AL,Almería,60,320,586
2021-06-29,AL,Almería,77,354,613
2021-06-30,AL,Almería,81,394,650
2021-07-01,AL,Almería,102,450,713
2021-07-02,AL,Almería,91,487,777
2021-07-03,AL,Almería,102,542,853
2021-07-04,AL,Almería,80,593,896
2021-07-05,AL,Almería,86,619,939
2021-07-06,AL,Almería,100,642,996
2021-07-07,AL,Almería,141,702,1096
2021-07-08,AL,Almería,91,691,1141
2021-07-09,AL,Almería,106,706,1193
2021-07-10,AL,Almería,155,759,1301
2021-07-11,AL,Almería,113,792,1385
2021-07-12,AL,Almería,213,919,1538
2021-07-13,AL,Almería,246,1065,1707
2021-07-14,AL,Almería,224,1148,1850
2021-07-15,AL,Almería,239,1296,1987
2021-07-16,AL,Almería,254,1444,2150
2021-07-17,AL,Almería,261,1550,2309
2021-07-18,AL,Almería,213,1650,2442
2021-07-19,AL,Almería,345,1782,2701
2021-07-20,AL,Almería,460,1996,3061
2021-07-21,AL,Almería,299,2071,3219
2021-07-22,AL,Almería,317,2149,3445
2021-07-23,AL,Almería,349,2244,3688
2021-07-24,AL,Almería,290,2273,3823
2021-07-25,AL,Almería,224,2284,3934
2021-07-26,AL,Almería,289,2228,4010
2021-07-27,AL,Almería,349,2117,4113
2021-07-28,AL,Almería,377,2195,4266
2021-07-29,AL,Almería,323,2201,4350
2021-07-30,AL,Almería,347,2199,4443
2021-07-31,AL,Almería,322,2231,4504
2021-06-15,AS,Asturias,58,0,0
2021-06-16,AS,Asturias,57,0,0
2021-06-17,AS,Asturias,46,0,0
2021-06-18,AS,Asturias,36,0,0
2021-06-19,AS,Asturias,65,0,0
2021-06-20,AS,Asturias,63,0,0
2021-06-21,AS,Asturias,95,420,0
2021-06-22,AS,Asturias,54,416,0
2021-06-23,AS,Asturias,52,411,0
2021-06-24,AS,Asturias,47,412,0
2021-06-25,AS,Asturias,62,438,0
2021-06-26,AS,Asturias,137,510,0
2021-06-27,AS,Asturias,158,605,0
2021-06-28,AS,Asturias,226,736,1156
2021-06-29,AS,Asturias,316,998,1414
2021-06-30,AS,Asturias,280,1226,1637
2021-07-01,AS,Asturias,196,1375,1787
2021-07-02,AS,Asturias,323,1636,2074
2021-07-03,AS,Asturias,347,1846,2356
2021-07-04,AS,Asturias,424,2112,2717
2021-07-05,AS,Asturias,601,2487,3223
2021-07-06,AS,Asturias,531,2702,3700
2021-07-07,AS,Asturias,470,2892,4118
2021-07-08,AS,Asturias,474,3170,4545
2021-07-09,AS,Asturias,441,3288,4924
2021-07-10,AS,Asturias,549,3490,5336
2021-07-11,AS,Asturias,527,3593,5705
2021-07-12,AS,Asturias,576,3568,6055
2021-07-13,AS,Asturias,630,3667,6369
2021-07-14,AS,Asturias,419,3616,6508
2021-07-15,AS,Asturias,390,3532,6702
2021-07-16,AS,Asturias,472,3563,6851
2021-07-17,AS,Asturias,460,3474,6964
2021-07-18,AS,Asturias,426,3373,6966
2021-07-19,AS,Asturias,440,3237,6805
2021-07-20,AS,Asturias,602,3209,6876
2021-07-21,AS,Asturias,354,3144,6760
2021-07-22,AS,Asturias,267,3021,6553
2021-07-23,AS,Asturias,283,2832,6395
2021-07-24,AS,Asturias,324,2696,6170
2021-07-25,AS,Asturias,357,2627,6000
2021-07-26,AS,Asturias,370,2557,5794
2021-07-27,AS,Asturias,298,2253,5462
2021-07-28,AS,Asturias,242,2141,5285
2021-07-29,AS,Asturias,174,2048,5069
2021-07-30,AS,Asturias,194,1959,4791
2021-07-31,AS,Asturias,194,1829,4525
2021-06-15,AV,Ávila,14,0,0
2021-06-16,AV,Ávila,6,0,0
2021-06-17,AV,Ávila,7,0,0
2021-06-18,AV,Ávila,4,0,0
2021-06-19,AV,Ávila,2,0,0
2021-06-20,AV,Ávila,6,0,0
2021-06-21,AV,Ávila,5,44,0
2021-06-22,AV,Ávila,1,31,0
2021-06-23,AV,Ávila,2,27,0
2021-06-24,AV,Ávila,3,23,0
2021-06-25,AV,Ávila,2,21,0
2021-06-26,AV,Ávila,3,22,0
2021-06-27,AV,Ávila,7,23,0
2021-06-28,AV,Ávila,12,30,74
2021-06-29,AV,Ávila,11,40,71
2021-06-30,AV,Ávila,13,51,78
2021-07-01,AV,Ávila,16,64,87
2021-07-02,AV,Ávila,12,74,95
2021-07-03,AV,Ávila,6,77,99
2021-07-04,AV,Ávila,15,85,108
2021-07-05,AV,Ávila,27,100,130
2021-07-06,AV,Ávila,44,133,173
2021-07-07,AV,Ávila,50,170,221
2021-07-08,AV,Ávila,49,203,267
2021-07-09,AV,Ávila,73,264,338
2021-07-10,AV,Ávila,74,332,409
2021-07-11,AV,Ávila,47,364,449
2021-07-12,AV,Ávila,67,404,504
2021-07-13,AV,Ávila,73,433,566
2021-07-14,AV,Ávila,52,435,605
2021-07-15,AV,Ávila,60,446,649
2021-07-16,AV,Ávila,73,446,710
2021-07-17,AV,Ávila,70,442,774
2021-07-18,AV,Ávila,45,440,804
2021-07-19,AV,Ávila,74,447,851
2021-07-20,AV,Ávila,80,454,887
2021-07-21,AV,Ávila,68,470,905
2021-07-22,AV,Ávila,70,480,926
2021-07-23,AV,Ávila,63,470,916
2021-07-24,AV,Ávila,28,428,870
2021-07-25,AV,Ávila,54,437,877
2021-07-26,AV,Ávila,71,434,881
2021-07-27,AV,Ávila,73,427,881
2021-07-28,AV,Ávila,76,435,905
2021-07-29,AV,Ávila,56,421,901
2021-07-30,AV,Ávila,52,410,880
2021-07-31,AV,Ávila,41,423,851
