Origen,Destino,Flujo,Fecha
002A,083A,92,2021-07-04
004A,083A,110,2021-07-04
005A,083A,164,2021-07-04
006A,083A,69,2021-07-04
006S,109S,25,2021-07-04
007A,083A,79,2021-07-04
008A,083A,80,2021-07-04
016S,109S,20,2021-07-04
016V,155V,158,2021-07-04
01AL,46AL,34,2021-07-04
01BU,30BU,295,2021-07-04
01CE,05CE,176,2021-07-04
01CO,53CO,27,2021-07-04
01GC,39GC,31,2021-07-04
01GR,44GR,144,2021-07-04
01ME,06ME,537,2021-07-04
01NA,23GP,85,2021-07-04
01SA,07SA,29,2021-07-04
01TF,19TF,40,2021-07-04
020S,109S,21,2021-07-04
021A,083A,44,2021-07-04
021S,109S,16,2021-07-04
022A,083A,23,2021-07-04
023A,083A,175,2021-07-04
024A,083A,19,2021-07-04
024S,109S,154,2021-07-04
025A,083A,459,2021-07-04
026S,109S,25,2021-07-04
028M,283M,47,2021-07-04
029V,155V,41,2021-07-04
02AB,01AB,451,2021-07-04
02CA,24CA,75,2021-07-04
02CE,05CE,79,2021-07-04
02CE,62CZ,22,2021-07-04
02CO,53CO,106,2021-07-04
02GI,03GI,22,2021-07-04
02HS,05HS,61,2021-07-04
02LO,11LO,65,2021-07-04
02ME,06ME,490,2021-07-04
02SA,07SA,144,2021-07-04
02TF,19TF,196,2021-07-04
030M,283M,21,2021-07-04
031A,083A,78,2021-07-04
032A,083A,111,2021-07-04
032S,109S,62,2021-07-04
034A,083A,155,2021-07-04
035S,27CZ,23,2021-07-04
036A,083A,1089,2021-07-04
036S,109S,35,2021-07-04
037A,IB40,22,2021-07-04
038A,083A,155,2021-07-04
039S,109S,85,2021-07-04
03AB,01AB,72,2021-07-04
03BA,02BA,465,2021-07-04
03BU,30BU,27,2021-07-04
03CA,24CA,36,2021-07-04
03CE,05CE,375,2021-07-04
03GC,15GC,628,2021-07-04
03LO,11LO,59,2021-07-04
03ME,06ME,914,2021-07-04
03TF,19TF,663,2021-07-04
03VI,17VI,93,2021-07-04
040M,283M,86,2021-07-04
041A,083A,206,2021-07-04
042A,083A,88,2021-07-04
042M,283M,30,2021-07-04
043A,IB40,27,2021-07-04
045A,083A,127,2021-07-04
045M,283M,33,2021-07-04
045S,109S,56,2021-07-04
046A,083A,97,2021-07-04
046S,109S,38,2021-07-04
046V,155V,32,2021-07-04
047A,083A,126,2021-07-04
047S,109S,75,2021-07-04
048A,083A,321,2021-07-04
048S,109S,126,2021-07-04
04AB,01AB,95,2021-07-04
04BA,02BA,317,2021-07-04
04CE,05CE,348,2021-07-04
04CE,62CZ,25,2021-07-04
04GC,39GC,19,2021-07-04
04HS,05HS,131,2021-07-04
04ME,06ME,543,2021-07-04
04SA,07SA,80,2021-07-04
04VI,17VI,52,2021-07-04
04ZA,25ZA,26,2021-07-04
050S,109S,17,2021-07-04
053M,283M,54,2021-07-04
054A,083A,423,2021-07-04
055A,083A,29,2021-07-04
057A,083A,27,2021-07-04
057S,27CZ,264,2021-07-04
058A,083A,165,2021-07-04
