Municipio,DistritoId,ProvinciaId,Poblacion
A Arnoia,10OU,OU,952.0
A Baña,06CÑ,CÑ,3389.0
A Bola,14OU,OU,1075.0
A Cañiza,07PO,PO,5115.0
A Capela,15CÑ,CÑ,1242.0
A Coruña,35CÑ,CÑ,245468.0
A Coruña,36CÑ,CÑ,245468.0
A Coruña,37CÑ,CÑ,245468.0
A Coruña,38CÑ,CÑ,245468.0
A Coruña,39CÑ,CÑ,245468.0
A Coruña,40CÑ,CÑ,245468.0
A Coruña,41CÑ,CÑ,245468.0
A Coruña,42CÑ,CÑ,245468.0
A Coruña,43CÑ,CÑ,245468.0
A Coruña,44CÑ,CÑ,245468.0
A Estrada,18PO,PO,20261.0
A Fonsagrada,15LU,LU,3328.0
A Guarda,21PO,PO,9991.0
A Gudiña,20OU,OU,1232.0
A Illa De Arousa,46PO,PO,4951.0
A Lama,02PO,PO,2410.0
A Laracha,53CÑ,CÑ,11521.0
A Merca,03OU,OU,1939.0
A Mezquita,20OU,OU,1006.0
A Pastoriza,17LU,LU,2918.0
A Peroxa,06OU,OU,1826.0
A Pobra De Trives,18OU,OU,2015.0
A Pobra Do Brollon,06LU,LU,1615.0
A Pobra Do Caramiñal,68CÑ,CÑ,9291.0
A Pontenova,16LU,LU,2207.0
A Rua,21OU,OU,4245.0
A Teixeira,18OU,OU,336.0
A Veiga,22OU,OU,886.0
Ababuj,14TE,TE,76.0
Abades,02SG,SG,835.0
Abadia,30CC,CC,359.0
Abadin,17LU,LU,2297.0
Abadiño,16BI,BI,7618.0
Abaigar,23NA,NAV,84.0
Abajas,11BU,BU,29.0
Abalos,04LO,LO,248.0
Abaltzisketa,07GP,GP,312.0
Abanades,14GU,GU,55.0
Abanilla,03MU,MU,6116.0
Abanto,14ZA,ZA,89.0
Abanto Y Ciervana-Abanto Zierbena,23BI,BI,9436.0
Abaran,04MU,MU,13066.0
Abarca De Campos,05PA,PA,45.0
Abarzuza/Abartzuza,22NA,NAV,538.0
Abaurregaina/Abaurrea Alta,17NA,NAV,128.0
Abaurrepea/Abaurrea Baja,17NA,NAV,29.0
Abegondo,22CÑ,CÑ,5494.0
Abejar,08SO,SO,273.0
Abejuela,12TE,TE,57.0
Abella De La Conca,08LL,LL,171.0
Abengibre,08AB,AB,748.0
Abenojar,17CR,CR,1339.0
Aberin,26NA,NAV,346.0
Abertura,08CC,CC,400.0
Abezames,08ZM,ZM,58.0
Abia De La Obispalia,03CU,CU,57.0
Abia De Las Torres,12PA,PA,167.0
Abiego,05HS,HS,271.0
Abizanda,10HS,HS,143.0
Abla,04AL,AL,1258.0
Ablanque,14GU,GU,60.0
Ablitas,39NA,NAV,2480.0
Abrera,046B,B,12620.0
Abrucena,04AL,AL,1208.0
Abusejo,13SA,SA,166.0
Acebedo,09LE,LE,185.0
Acebo,19CC,CC,560.0
Acedera,34BA,BA,820.0
Acehuche,16CC,CC,813.0
Aceituna,33CC,CC,587.0
Acered,14ZA,ZA,140.0
Aceuchal,44BA,BA,5467.0
Adahuesca,06HS,HS,190.0
Adalia,18VA,VA,52.0
Adamuz,05CO,CO,4141.0
Adanero,07AV,AV,196.0
Adeje,12TF,TF,48733.0
Ademuz,026V,V,1027.0
Adios,09NA,NAV,167.0
Adobes,15GU,GU,32.0
Ador,004V,V,1772.0
Adra,18AL,AL,25501.0
Adrada De Haza,19BU,BU,197.0
Adrada De Piron,12SG,SG,39.0
Adradas,04SO,SO,55.0
Adrados,13SG,SG,125.0
Adsubia,014A,A,609.0
Aduna,11GP,GP,482.0
Agaete,04GC,GC,5695.0
Agallas,14SA,SA,128.0
Àger,31LL,LL,588.0
Agolada,01PO,PO,2228.0
Agon,29ZA,ZA,135.0
Agoncillo,11LO,LO,1153.0
Agost,009A,A,4906.0
Agramunt,33LL,LL,5464.0
Agreda,03SO,SO,3006.0
Agres,015A,A,580.0
Agron,16GR,GR,255.0
Aguadulce,009S,S,2022.0
Aguaron,13ZA,ZA,616.0
Aguas Candidas,11BU,BU,56.0
Aguasal,11VA,VA,17.0
Aguaton,10TE,TE,17.0
Aguaviva,04TE,TE,547.0
Agudo,15CR,CR,1638.0
Aguero,02HS,HS,139.0
Aguilafuente,11SG,SG,557.0
Aguilar De Bureba,11BU,BU,52.0
Aguilar De Campoo,14PA,PA,6711.0
Aguilar De Campos,17VA,VA,257.0
Aguilar De Codes,24NA,NAV,69.0
Aguilar De La Frontera,24CO,CO,13398.0
Aguilar De Segarra,019B,B,286.0
Aguilar Del Alfambra,14TE,TE,76.0
Aguilar Del Rio Alhama,14LO,LO,457.0
Aguilas,05MU,MU,35956.0
Aguilon,10ZA,ZA,234.0
Aguimes,05GC,GC,32105.0
Agullana,32GI,GI,885.0
Agullent,041V,V,2369.0
Agulo,06TF,TF,1099.0
Ahigal,29CC,CC,1393.0
Ahigal De Los Aceiteros,15SA,SA,114.0
Ahigal De Villarino,20SA,SA,24.0
Ahillones,23BA,BA,851.0
Aia,12GP,GP,2056.0
Aibar/Oibar,20NA,NAV,782.0
Aielo De Malferit,040V,V,4592.0
Aielo De Rugat,042V,V,160.0
Aiguafreda,029B,B,2556.0
Aiguamurcia,27TA,TA,960.0
Aiguaviva,02GI,GI,789.0
Aigues,011A,A,1049.0
Ain,10CS,CS,135.0
Ainsa-Sobrarbe,06HS,HS,2312.0
Ainzon,29ZA,ZA,1067.0
Aisa,01HS,HS,336.0
Aitona,20LL,LL,2493.0
Aizarnazabal,13GP,GP,795.0
Ajalvir,026M,M,4676.0
Ajamil De Cameros,11LO,LO,67.0
Ajangiz,22BI,BI,483.0
Ajofrin,16TO,TO,2236.0
Alacon,06TE,TE,235.0
Aladren,11ZA,ZA,58.0
Alaejos,12VA,VA,1380.0
Alagon,26ZA,ZA,7121.0
Alagon Del Rio,17CC,CC,933.0
Alaior,IB14,IB,9477.0
Alajar,08HU,HU,814.0
Alajero,05TF,TF,2047.0
Alameda,24MA,MA,5453.0
Alameda De La Sagra,08TO,TO,3757.0
Alameda Del Valle,007M,M,246.0
Alamedilla,28GR,GR,564.0
Alamillo,15CR,CR,470.0
Alaminos,09GU,GU,57.0
Alange,26BA,BA,1850.0
Alanis,003S,S,1716.0
Alaquàs,153V,V,29649.0
Alar Del Rey,12PA,PA,908.0
Alaraz,06SA,SA,429.0
Alarba,14ZA,ZA,112.0
Alarcon,14CU,CU,151.0
Alarilla,07GU,GU,127.0
Alaro,IB07,IB,5741.0
Alàs I Cerc,06LL,LL,322.0
Alatoz,07AB,AB,496.0
Alba,10TE,TE,184.0
Alba De Cerrato,03PA,PA,83.0
Alba De Tormes,22SA,SA,5159.0
Alba De Yeltes,13SA,SA,216.0
Albacete,01AB,AB,172722.0
Albacete,23AB,AB,172722.0
Albacete,24AB,AB,172722.0
Albacete,25AB,AB,172722.0
Albacete,26AB,AB,172722.0
Albacete,27AB,AB,172722.0
Albacete,28AB,AB,172722.0
Albacete,29AB,AB,172722.0
Albaida,041V,V,5975.0
Albaida Del Aljarafe,019S,S,3221.0
Albal,015V,V,16646.0
Albala,09CC,CC,681.0
Albaladejo,07CR,CR,1099.0
Albaladejo Del Cuende,11CU,CU,236.0
Albalat De La Ribera,014V,V,3368.0
Albalat Dels Sorells,018V,V,4110.0
Albalat Dels Tarongers,023V,V,1324.0
Albalate De Cinca,14HS,HS,1125.0
Albalate De Las Nogueras,02CU,CU,256.0
