AEROPUERTO,DISTRITO,DISTRITOID,
A Coruña (LCG),Culleredo,45CÑ
Adolfo Suárez Madrid-Barajas (MAD),Madrid (SCD Timón-Casco Historico-Aeropuerto),283M
Albacete (ABC),Albacete (distrito 08) y otros municipios,01AB
Algeciras (AEI),Algeciras (distrito 02),62CZ
Alicante-Elche Miguel Hernández (ALC),Elche/Elx (distrito 07 y sección 023 del distrito 06),083A
Almería (LEI),Almería (sección 041 y otras secciones del distrito 07),46AL
Asturias (OVD),Castrillón,21AS
Badajoz (BJZ),Badajoz (distrito 08) y otros municipios,02BA
Bilbao (BIO),Sondika y Loiu,09BI
Burgos (RGS),Burgos (distrito 09),30BU
Ceuta (JCU),Ceuta (distrito 01),05CE
César Manrique-Lanzarote (ACE),San Bartolomé,16GC
Córdoba (ODB),Córdoba (SCD El Higuerón - Majaneque-Alameda del Obispo),53CO
El Hierro (VDE),Valverde,38TF
Federico García Lorca Granada-Jaén (GRX),Chauchina,44GR
Fuerteventura (FUE),Puerto del Rosario,15GC
Girona-Costa Brava (GRO),Vilobí d'Onyar y Riudellots de la Selva,03GI
Gran Canaria (LPA),Telde (distrito 06),39GC
Huesca-Pirineos (HSK),Tierz y otros municipios,05HS
Ibiza (IBZ),Sant Josep de sa Talaia,IB40
Internacional Región de Murcia (RMU),Murcia (SCD Number 8),66MU
Jerez (XRY),Jerez de la Frontera (distrito 09),27CZ
Josep Tarradellas Barcelona-El Prat (BCN),Prat de Llobregat; El (distrito 04),270B
La Gomera (GMZ),San Sebastián de la Gomera y Alajeró,05TF
La Palma (SPC),Villa de Mazo y Fuencaliente de la Palma,08TF
León (LEN),Valverde de la Virgen,37LE
Logroño-Agoncillo (RJL),Agoncillo y otros municipios,11LO
Madrid - Cuatro Vientos (LECU),Madrid (SCD Cuatro Vientos-Aguilas),207M
Melilla (MLN),Melilla (distrito 08),06ME
Menorca (MAH),Maó-Mahón,IB32
Málaga-Costa del Sol (AGP),Málaga (SCD Churriana - Bahía Málaga),78MA
Palma de Mallorca (PMI),Palma de Mallorca (SCD Number 4-E),IB64
Pamplona (PNA),Noáin (Valle de Elorz)/Noain (Elortzibar),46NA
Reus (REU),Reus (distritos 09 y 10),32TA
Sabadell (QSA),Sabadell (distrito 06) y Badia del Vallès (secciones 005 y 007 del distrito 01),281B
Salamanca (SLM),Calvarrasa de Abajo y otros municipios,07SA
San Sebastián (EAS),Hondarribia,23GP
Santiago-Rosalía de Castro (SCQ),Santiago de Compostela (distrito 06) y Trazo,07CÑ
Seve Ballesteros-Santander (SDR),Camargo,24CA
Sevilla (SVQ),Sevilla (SCD Number 9-E),109S
Son Bonet (LESB),Marratxí,IB34
Tenerife Norte-Ciudad de La Laguna (TFN),San Cristóbal de La Laguna (distrito 04),44TF
Tenerife Sur (TFS),Granadilla de Abona,19TF
Valencia (VLC),Manises,155V
Valladolid (VLL),Villanubla y otros municipios,05VA
Vigo (VGO),Mos,27PO
Vitoria (VIT),Vitoria-Gasteiz (distrito 06),17VI
Zaragoza (ZAZ),Zaragoza (SCD número 12) y otros municipios,25ZA
