DistritoSanitario,Poblacion
A.S. A CORUÑA E CEE,556411.0
A.S. FERROL,187255.0
A.S. LUGO; A MARIÑA E MONFORTE,326013.0
A.S. OURENSE; VERÍN E O BARCO,305223.0
A.S. PONTEVEDRA E O SALNÉS,307156.0
A.S. SANTIAGO E BARBANZA,445793.0
A.S. VIGO,568222.0
Aljarafe,207317.0
Almería (distrito),248343.0
Alto Gállego,13772.0
Andorra-Sierra De Arcos,9736.0
Aranda,6297.0
Axarquía,134968.0
Bahía de Cádiz-La Janda,496576.0
Bajo Aragón,28710.0
Bajo Aragón-Caspe / Baix Aragó-Casp,15224.0
Bajo Cinca / Baix Cinca,25004.0
Bajo Martín,6303.0
Campo De Belchite,4596.0
Campo De Borja,13721.0
Campo De Cariñena,10043.0
Campo De Daroca,5428.0
Campo de Gibraltar Este,102208.0
Campo de Gibraltar Oeste,165431.0
Cinca Medio,24072.0
Cinco Villas,30793.0
Comunidad De Calatayud,36450.0
Comunidad De Teruel,59562.0
Condado-Campiña,62566.0
Conjunto Castilla Leon 1,5477.0
Conjunto Castilla Leon 10,1470.0
Conjunto Castilla Leon 100,4560.0
Conjunto Castilla Leon 101,4241.0
Conjunto Castilla Leon 102,4229.0
Conjunto Castilla Leon 103,3987.0
Conjunto Castilla Leon 104,12848.0
Conjunto Castilla Leon 105,5331.0
Conjunto Castilla Leon 106,37387.0
Conjunto Castilla Leon 107,64501.0
Conjunto Castilla Leon 108,11106.0
Conjunto Castilla Leon 109,2414.0
Conjunto Castilla Leon 11,4282.0
Conjunto Castilla Leon 110,3034.0
Conjunto Castilla Leon 111,2205.0
Conjunto Castilla Leon 112,161143.0
Conjunto Castilla Leon 113,18934.0
Conjunto Castilla Leon 114,26918.0
Conjunto Castilla Leon 115,6879.0
Conjunto Castilla Leon 116,11383.0
Conjunto Castilla Leon 117,9775.0
Conjunto Castilla Leon 118,3310.0
Conjunto Castilla Leon 119,23415.0
Conjunto Castilla Leon 12,174051.0
Conjunto Castilla Leon 120,1526.0
Conjunto Castilla Leon 121,4358.0
Conjunto Castilla Leon 122,8180.0
Conjunto Castilla Leon 123,14337.0
Conjunto Castilla Leon 124,68083.0
Conjunto Castilla Leon 125,3875.0
Conjunto Castilla Leon 126,5907.0
Conjunto Castilla Leon 127,6269.0
Conjunto Castilla Leon 128,2812.0
Conjunto Castilla Leon 129,3995.0
Conjunto Castilla Leon 13,6463.0
Conjunto Castilla Leon 130,2503.0
Conjunto Castilla Leon 131,1144.0
Conjunto Castilla Leon 132,40236.0
Conjunto Castilla Leon 133,45459.0
Conjunto Castilla Leon 134,7809.0
Conjunto Castilla Leon 135,6875.0
Conjunto Castilla Leon 136,36629.0
Conjunto Castilla Leon 137,2800.0
Conjunto Castilla Leon 138,6459.0
Conjunto Castilla Leon 139,907.0
Conjunto Castilla Leon 14,2263.0
Conjunto Castilla Leon 140,1247.0
Conjunto Castilla Leon 141,4547.0
Conjunto Castilla Leon 142,129969.0
Conjunto Castilla Leon 143,20862.0
Conjunto Castilla Leon 144,1728.0
Conjunto Castilla Leon 145,4155.0
Conjunto Castilla Leon 146,7686.0
Conjunto Castilla Leon 147,13083.0
Conjunto Castilla Leon 148,1187.0
Conjunto Castilla Leon 149,3687.0
Conjunto Castilla Leon 15,4007.0
Conjunto Castilla Leon 150,152211.0
Conjunto Castilla Leon 151,8042.0
Conjunto Castilla Leon 152,3387.0
Conjunto Castilla Leon 153,2000.0
Conjunto Castilla Leon 154,3223.0
Conjunto Castilla Leon 155,3975.0
Conjunto Castilla Leon 156,26732.0
Conjunto Castilla Leon 157,10746.0
Conjunto Castilla Leon 158,12707.0
Conjunto Castilla Leon 159,784.0
Conjunto Castilla Leon 16,7127.0
Conjunto Castilla Leon 160,69885.0
Conjunto Castilla Leon 161,70851.0
Conjunto Castilla Leon 162,1875.0
Conjunto Castilla Leon 163,2162.0
Conjunto Castilla Leon 164,2521.0
Conjunto Castilla Leon 165,17257.0
Conjunto Castilla Leon 166,37602.0
Conjunto Castilla Leon 167,13720.0
Conjunto Castilla Leon 168,65543.0
Conjunto Castilla Leon 169,2719.0
Conjunto Castilla Leon 17,19856.0
Conjunto Castilla Leon 170,4608.0
Conjunto Castilla Leon 171,2648.0
Conjunto Castilla Leon 172,3738.0
Conjunto Castilla Leon 173,85055.0
Conjunto Castilla Leon 174,3650.0
Conjunto Castilla Leon 175,1941.0
Conjunto Castilla Leon 176,6470.0
Conjunto Castilla Leon 177,13855.0
