Municipio,Fecha,Casos,Casos7,Casos14
(Altres Municipis),2021-06-15,1.0,1.0,1.0
(Altres Municipis),2021-06-16,1.0,2.0,2.0
(Altres Municipis),2021-06-17,1.0,3.0,3.0
(Altres Municipis),2021-06-18,1.0,4.0,4.0
(Altres Municipis),2021-06-19,1.0,5.0,5.0
(Altres Municipis),2021-06-20,1.0,6.0,6.0
(Altres Municipis),2021-06-21,1.0,7.0,7.0
(Altres Municipis),2021-06-22,2.0,9.0,9.0
(Altres Municipis),2021-06-23,2.0,10.0,11.0
(Altres Municipis),2021-06-24,1.0,10.0,12.0
(Altres Municipis),2021-06-25,2.0,11.0,14.0
(Altres Municipis),2021-06-26,3.25,13.25,17.25
(Altres Municipis),2021-06-27,4.5,16.75,21.75
(Altres Municipis),2021-06-28,7.0,22.75,28.75
(Altres Municipis),2021-06-29,8.0,29.75,36.75
(Altres Municipis),2021-06-30,13.0,40.75,48.75
(Altres Municipis),2021-07-01,10.0,48.75,57.75
(Altres Municipis),2021-07-02,6.0,53.75,62.75
(Altres Municipis),2021-07-03,2.0,53.75,63.75
(Altres Municipis),2021-07-04,2.0,52.5,64.75
(Altres Municipis),2021-07-05,7.0,55.0,70.75
(Altres Municipis),2021-07-06,16.0,64.0,85.75
(Altres Municipis),2021-07-07,8.0,64.0,91.75
(Altres Municipis),2021-07-08,19.0,70.0,108.75
(Altres Municipis),2021-07-09,12.0,72.0,119.75
(Altres Municipis),2021-07-10,5.0,71.0,122.75
(Altres Municipis),2021-07-11,13.0,82.0,132.5
(Altres Municipis),2021-07-12,13.0,93.0,141.0
(Altres Municipis),2021-07-13,15.0,101.0,149.0
(Altres Municipis),2021-07-14,8.0,93.0,149.0
(Altres Municipis),2021-07-15,14.0,99.0,150.0
(Altres Municipis),2021-07-16,12.0,92.0,152.0
(Altres Municipis),2021-07-17,7.0,87.0,153.0
(Altres Municipis),2021-07-18,10.0,92.0,161.0
(Altres Municipis),2021-07-19,17.0,96.0,176.0
(Altres Municipis),2021-07-20,12.0,95.0,181.0
(Altres Municipis),2021-07-21,8.0,88.0,173.0
(Altres Municipis),2021-07-22,6.0,86.0,171.0
(Altres Municipis),2021-07-23,7.0,79.0,159.0
(Altres Municipis),2021-07-24,4.0,71.0,151.0
(Altres Municipis),2021-07-25,7.0,71.0,153.0
(Altres Municipis),2021-07-26,11.0,72.0,151.0
(Altres Municipis),2021-07-27,5.0,60.0,143.0
(Altres Municipis),2021-07-28,5.0,53.0,133.0
(Altres Municipis),2021-07-29,9.0,54.0,134.0
(Altres Municipis),2021-07-30,4.0,52.0,124.0
(Altres Municipis),2021-07-31,1.0,46.0,113.0
Abrera,2021-06-15,1.0,1.0,1.0
Abrera,2021-06-16,1.0,2.0,2.0
Abrera,2021-06-17,2.0,4.0,4.0
Abrera,2021-06-18,1.67,5.67,5.67
Abrera,2021-06-19,1.0,6.67,6.67
Abrera,2021-06-20,2.0,8.67,8.67
Abrera,2021-06-21,2.0,10.67,10.67
Abrera,2021-06-22,2.0,12.67,12.67
Abrera,2021-06-23,1.67,13.34,14.34
Abrera,2021-06-24,1.0,13.34,15.34
Abrera,2021-06-25,1.0,12.34,16.34
Abrera,2021-06-26,1.0,11.67,17.34
Abrera,2021-06-27,1.0,11.67,18.34
Abrera,2021-06-28,5.0,14.67,23.34
Abrera,2021-06-29,7.0,19.67,30.34
Abrera,2021-06-30,3.0,20.67,32.34
Abrera,2021-07-01,5.0,24.0,36.34
Abrera,2021-07-02,5.0,28.0,39.34
Abrera,2021-07-03,3.0,30.0,40.67
Abrera,2021-07-04,1.0,30.0,40.67
Abrera,2021-07-05,14.0,43.0,52.67
Abrera,2021-07-06,10.0,48.0,60.67
Abrera,2021-07-07,17.0,58.0,75.67
Abrera,2021-07-08,22.0,77.0,96.0
Abrera,2021-07-09,15.0,87.0,110.0
Abrera,2021-07-10,4.0,86.0,113.0
Abrera,2021-07-11,2.0,85.0,114.0
Abrera,2021-07-12,10.0,94.0,123.0
Abrera,2021-07-13,10.0,90.0,128.0
Abrera,2021-07-14,4.0,84.0,125.0
Abrera,2021-07-15,9.0,76.0,131.0
Abrera,2021-07-16,7.0,61.0,133.0
Abrera,2021-07-17,1.0,47.0,129.0
Abrera,2021-07-18,3.0,46.0,129.0
Abrera,2021-07-19,15.0,59.0,143.0
Abrera,2021-07-20,12.0,61.0,141.0
Abrera,2021-07-21,5.0,56.0,136.0
Abrera,2021-07-22,4.0,56.0,123.0
Abrera,2021-07-23,24.0,71.0,125.0
Abrera,2021-07-24,4.0,68.0,114.0
Abrera,2021-07-25,3.0,70.0,113.0
Abrera,2021-07-26,9.0,76.0,120.0
Abrera,2021-07-27,9.0,70.0,119.0
Abrera,2021-07-28,13.0,71.0,122.0
Abrera,2021-07-29,5.0,71.0,123.0
Abrera,2021-07-30,7.0,74.0,121.0
Ademuz,2021-07-01,6.86,48.0,96.43
Ademuz,2021-07-02,6.86,48.0,96.43
Ademuz,2021-07-03,6.86,48.0,96.43
Ademuz,2021-07-04,6.86,48.0,96.43
Ademuz,2021-07-05,6.86,48.0,96.43
Ademuz,2021-07-06,22.36,156.5,313.4
Ademuz,2021-07-07,37.86,265.0,530.38
Ademuz,2021-07-08,68.86,482.0,964.32
