Municipio,Fecha,Casos,Casos7,Casos14
Ajalvir,2021-06-15,0.0,0.0,0.0
Ajalvir,2021-06-16,0.0,0.0,0.25
Ajalvir,2021-06-17,0.0,0.0,0.5
Ajalvir,2021-06-18,0.0,0.0,0.75
Ajalvir,2021-06-19,0.07,0.5,1.0
Ajalvir,2021-06-20,0.07,0.5,1.25
Ajalvir,2021-06-21,0.07,0.5,1.5
Ajalvir,2021-06-22,0.14,1.0,2.0
Ajalvir,2021-06-23,0.14,1.0,2.0
Ajalvir,2021-06-24,0.14,1.0,2.0
Ajalvir,2021-06-25,0.14,1.0,2.0
Ajalvir,2021-06-26,0.14,1.0,2.0
Ajalvir,2021-06-27,0.14,1.0,2.0
Ajalvir,2021-06-28,0.14,1.0,2.0
Ajalvir,2021-06-29,0.14,1.0,2.0
Ajalvir,2021-06-30,0.14,1.0,2.2
Ajalvir,2021-07-01,0.14,1.0,2.4
Ajalvir,2021-07-02,0.14,1.0,2.6
Ajalvir,2021-07-03,0.14,1.0,2.8
Ajalvir,2021-07-04,0.21,1.5,3.0
Ajalvir,2021-07-05,0.21,1.5,3.2
Ajalvir,2021-07-06,0.21,1.5,3.4
Ajalvir,2021-07-07,0.21,1.5,3.6
Ajalvir,2021-07-08,0.21,1.5,3.8
Ajalvir,2021-07-09,0.29,2.0,4.0
Ajalvir,2021-07-10,0.29,2.0,4.2
Ajalvir,2021-07-11,0.29,2.0,4.4
Ajalvir,2021-07-12,0.29,2.0,4.6
Ajalvir,2021-07-13,0.36,2.5,5.0
Ajalvir,2021-07-14,0.43,3.0,6.12
Ajalvir,2021-07-15,0.5,3.5,7.25
Ajalvir,2021-07-16,0.57,4.0,8.38
Ajalvir,2021-07-17,0.64,4.5,9.5
Ajalvir,2021-07-18,0.71,5.0,10.62
Ajalvir,2021-07-19,0.79,5.5,11.75
Ajalvir,2021-07-20,1.0,7.0,14.0
Ajalvir,2021-07-21,1.0,7.0,14.75
Ajalvir,2021-07-22,1.07,7.5,15.5
Ajalvir,2021-07-23,1.14,8.0,16.25
Ajalvir,2021-07-24,1.21,8.5,17.0
Ajalvir,2021-07-25,1.21,8.5,17.75
Ajalvir,2021-07-26,1.29,9.0,18.5
Ajalvir,2021-07-27,1.43,10.0,20.0
Alameda Del Valle,2021-06-15,0.0,0.0,0.0
Alameda Del Valle,2021-06-16,0.0,0.0,0.0
Alameda Del Valle,2021-06-17,0.0,0.0,0.0
Alameda Del Valle,2021-06-18,0.0,0.0,0.0
Alameda Del Valle,2021-06-19,0.0,0.0,0.0
Alameda Del Valle,2021-06-20,0.0,0.0,0.0
Alameda Del Valle,2021-06-21,0.0,0.0,0.0
